Title,Published_date,Views,Likes,Comments,Month
Mystery of Apollo 13 Mission | Lost in Space | Dhruv Rathee,2023-08-19,16862178,488083,10691,Aug
Chicken or Egg: What came first? | Are Eggs Veg or Non Veg? | Dhruv Rathee,2023-08-14,8811493,347921,19270,Aug
PM Modi’s Role in Manipur | What actually happened? | Dhruv Rathee,2023-08-10,6099787,237233,18064,Aug
The Real Story of Manipur | Who is Responsible? | Dhruv Rathee,2023-08-06,7428088,383557,22075,Aug
What happened to the Ozone Hole? | Dhruv Rathee,2023-07-31,8063170,295703,12662,Jul
The Dark Reality of Bigg Boss | Dhruv Rathee,2023-07-27,18345315,972616,80936,Jul
The Real Story of Oppenheimer | Hero or Villain? | Dhruv Rathee,2023-07-23,13285575,438286,15284,Jul
Where did the First Human come from? | Evolution of Homo Ancestors | Dhruv Rathee,2023-07-20,9496287,300565,28164,Jul
The Truth about Artificial Intelligence and ChatGPT | Dhruv Rathee,2023-07-16,12495596,516506,31291,Jul
What went Wrong with Adipurush? | The Indian Film Industry Formula | Dhruv Rathee,2023-07-07,10884931,427439,30748,Jul
How Online Betting & Fantasy Apps Fool You! | Business Model | Dhruv Rathee,2023-07-02,9185819,402623,25231,Jul
Mystery of Titan Submarine | What Actually Happened? | Dhruv Rathee,2023-06-29,14261459,631930,17465,Jun
How China became a Superpower? | Case Study | Dhruv Rathee,2023-06-23,11275845,300106,17353,Jun
Saudi Arabia’s $1 Trillion Plan | Is it Really Possible? | Dhruv Rathee,2023-06-14,10165765,282438,15457,Jun
Reality of Quran and Bible | Abrahamic Religions Explained | Dhruv Rathee,2023-06-09,22772021,810708,163059,Jun
The No.1 Problem that is Destroying Indian Cities | Dhruv Rathee,2023-06-06,5433894,269339,25681,Jun
"Does God Exist? | Hinduism, Religion and Spirituality with Acharya Prashant x Dhruv Rathee",2023-05-31,10073658,386372,60181,May
My Reply to Kerala Story Controversy | Elvish Yadav | Dhruv Rathee,2023-05-26,17023703,1416576,245049,May
Reality of Wrestlers Protest | Why Modi Govt is Saving Brij Bhushan? | Dhruv Rathee,2023-05-22,6125250,347101,24720,May
Imran Khan vs Pakistan Army | Who will Win? | Dhruv Rathee,2023-05-17,7537715,271786,22039,May
Cloud Seeding: The Secret to China & Dubai's Rain | Dhruv Rathee,2023-05-14,6526586,219799,9447,May
The Kerala Story | True or Fake? | Dhruv Rathee,2023-05-10,23651222,1378752,214940,May
Mystery of Hindenburg | The World’s Largest Airship | Dhruv Rathee,2023-05-08,6726623,208797,4994,May
Theory of Evolution | Fact vs Fiction | How Life Originated on Earth? | Dhruv Rathee,2023-05-06,11665400,408509,39860,May
The Dark Reality of World's Fattest Country | Case Study | Dhruv Rathee,2023-04-30,6719787,241547,10040,Apr
Why Hitler Lost? | World War 2 | Dhruv Rathee,2023-04-26,18294192,416663,11812,Apr
The Truth of Pulwama | Satyapal Malik Allegations | Dhruv Rathee,2023-04-23,12174851,561561,42383,Apr
Why World War 2 Happened? | The Real Reason | Dhruv Rathee,2023-04-20,19439847,440498,16869,Apr
Why was Donald Trump Arrested? | Full Case Explained | Dhruv Rathee,2023-04-13,4229454,147976,7348,Apr
Israel Crisis 2023 | Largest Protests in History | Explained by Dhruv Rathee,2023-04-11,4922157,184054,11615,Apr
Is Amritpal Singh Right? | Khalistan Movement | Dhruv Rathee,2023-04-07,7037082,280746,39508,Apr
Rahul Gandhi Disqualified! | Full Case Explained | Dhruv Rathee,2023-04-01,7581343,359084,36206,Apr
How Dinosaurs Became Extinct? | How Humans Took Over Earth? | Dhruv Rathee,2023-03-28,16622075,468580,19027,Mar
Formula 1 Racing | How the World's Most Dangerous Sport Works? | Dhruv Rathee,2023-03-22,5797041,195410,8448,Mar
Downfall of American Banks | Silicon Valley Bank Crash Explained | Dhruv Rathee,2023-03-20,5210709,187128,6624,Mar
The Real Story of Dhruv Rathee | 10 Million Special,2023-03-16,18217215,969810,56019,Mar
India WINS at Oscars Awards! | How Nominations and Voting Work? | Dhruv Rathee,2023-03-13,4916530,207726,7379,Mar
Mystery of Burj Khalifa | How Tall can Humans Build? | Dhruv Rathee,2023-03-06,15058320,336838,8095,Mar
Adani and Modi | The Full Story of Fraud Allegations | Dhruv Rathee,2023-03-01,11562856,589489,38528,Mar
$3 Trillion Lithium Found in J&K | Geopolitics of Natural Resources | Dhruv Rathee,2023-02-23,8404050,268779,9911,Feb
How to Earn Money from Beekeeping? | Ep.2 Jobs Zara Hatke | Dhruv Rathee,2023-02-11,2735650,123327,5684,Feb
Reality of Bageshwar Dham Baba | Another Fraud? | Dhruv Rathee,2023-02-09,34446341,1794409,202125,Feb
Budget 2023 Analysis | Best Budget Ever? | Dhruv Rathee,2023-02-07,3722466,182960,9621,Feb
Gautam Adani vs Hindenburg Report | Explained by Dhruv Rathee,2023-02-02,8537210,398603,22459,Feb
Pathaan Controversy | Is Bollywood Hinduphobic? | Shah Rukh Khan | Dhruv Rathee,2023-01-24,7413018,435739,40215,Jan
What if India and Pakistan Never Separated? | Dhruv Rathee,2023-01-18,8438423,308037,37604,Jan
The Truth of Joshimath | Sinking City of Uttarakhand | Dhruv Rathee,2023-01-17,3963928,182174,5462,Jan
The Sad Reality of Avatar 2 | Way of Water | Dhruv Rathee,2023-01-15,6654284,276563,7305,Jan
Mystery of Flight IC-814 | The Worst Plane Hijacking in Indian History | Dhruv Rathee,2023-01-08,17739630,520525,12300,Jan
Can I be a Helicopter Pilot? | Ep.1 Jobs Zara Hatke,2023-01-01,2167862,103129,6428,Jan
Should you use Firecrackers on Diwali? | Mughal vs Chinese History | Air Pollution | Dhruv Rathee,2022-12-30,4841431,177708,11512,Dec
How Singapore became Asia’s No.1 Country? | Case Study | Dhruv Rathee,2022-12-28,16470079,392679,18763,Dec
Mystery of Area 51 | Are there really UFOs and Aliens? | Dhruv Rathee,2022-12-24,20405170,522074,14009,Dec
How Astrology Fools Millions of Indians! | Truth about Horoscopes | Dhruv Rathee,2022-12-19,13910100,582579,54057,Dec
How Digital Media DESTROYED Bollywood? | Business Model of Netflix / OTT | Dhruv Rathee,2022-12-16,4489746,160518,5616,Dec
How FIFA earns Money? | Qatar World Cup Business Model | Dhruv Rathee,2022-12-13,6625639,225320,6714,Dec
Dark Reality of Indian Education System | Dhruv Rathee,2022-12-09,9669058,536214,31380,Dec
India Pakistan 1971 War | Why it happened? | Bangladesh Liberation | Dhruv Rathee,2022-12-06,15701571,423291,34017,Dec
Mystery of Ancient Pyramids | How were they really built? | Dhruv Rathee,2022-12-02,21582549,553561,15868,Dec
Why is South India more Developed than North India? | Dhruv Rathee,2022-11-27,11751615,365832,39842,Nov
"The Dark Reality of Bread, Maida and Roti | Brown Bread vs White Bread | Dhruv Rathee",2022-11-22,11353760,349551,17038,Nov
